Sample,n_clusters,Silhouette Score
1,2,0.27897673216445923
1,3,0.3234169092511531
1,4,0.33893930241972786
1,5,0.3197069616548277
1,6,0.310574408379026
1,7,0.334287163874563
1,8,0.3140744318757818
1,9,0.3247367169886068
1,10,0.32901851980902047
1,11,0.32731363716002737
1,12,0.3137290809199201
2,2,0.2792227898039155
2,3,0.3238482776113031
2,4,0.3373946746715239
2,5,0.3199747877625307
2,6,0.313588736588567
2,7,0.3335211939688167
2,8,0.3097795173735138
2,9,0.3251908159672474
2,10,0.3260817047297265
2,11,0.31291630025301653
2,12,0.3170772930941963
3,2,0.2770223191114042
3,3,0.32258996579799076
3,4,0.33712512872145955
3,5,0.3250731234435569
3,6,0.31546616294827257
3,7,0.33092518973948676
3,8,0.30906143110594275
3,9,0.3252620774902665
3,10,0.3271227933518851
3,11,0.32974946844482006
3,12,0.3189519549959053
4,2,0.7715973158157903
4,3,0.31971697715371383
4,4,0.3363565460214403
4,5,0.32097395400469936
4,6,0.31115008835106
4,7,0.335063368131492
4,8,0.3310385065603895
4,9,0.31991065899948073
4,10,0.32398496831398116
4,11,0.3298264436934655
4,12,0.3309273770157009
5,2,0.7719013685853356
5,3,0.31369755387391896
5,4,0.34191265679569444
5,5,0.323035417196231
5,6,0.3082672343226339
5,7,0.33464424572096096
5,8,0.3306389310304725
5,9,0.3208544070176429
5,10,0.3255453619267872
5,11,0.33125985229550226
5,12,0.32537765665899426
6,2,0.7717902687042254
6,3,0.3199754579144534
6,4,0.3363892998457034
6,5,0.3207700094445366
6,6,0.30862336043718636
6,7,0.33422321408980377
6,8,0.3325384580113182
6,9,0.32398149338619686
6,10,0.32843045268026194
6,11,0.32767140981559534
6,12,0.3306255626116912
7,2,0.771338198098294
7,3,0.3201404382131079
7,4,0.3373178884755132
7,5,0.3227276306819988
7,6,0.31417384722541314
7,7,0.3309311864687631
7,8,0.3303827370852863
7,9,0.3242610716702329
7,10,0.3234821991121605
7,11,0.3098858763681273
7,12,0.30322861011251107
8,2,0.7714961043995141
8,3,0.31423070789610064
8,4,0.33606797130289284
8,5,0.32310541987807495
8,6,0.3028230101357062
8,7,0.3319705469989226
8,8,0.3325475476087285
8,9,0.3208209239821046
8,10,0.3291918635202448
8,11,0.31544172573156065
8,12,0.31645891564428824
9,2,0.7712460823865656
9,3,0.3198681862191888
9,4,0.34202941776009443
9,5,0.3176491156422618
9,6,0.31810274034393105
9,7,0.33285650002968553
9,8,0.3111394424884792
9,9,0.32451811860311974
9,10,0.32204504733083067
9,11,0.32603715410633927
9,12,0.3306480101190052
10,2,0.28272171963545867
10,3,0.3206714373800799
10,4,0.33662258998359207
10,5,0.31674135094501216
10,6,0.3147787214400858
10,7,0.33301253083439264
10,8,0.3103006728963989
10,9,0.29644747268816724
10,10,0.3083433476249721
10,11,0.3064501365134832
10,12,0.31548545516495863
